,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_roc_auc,test_f1,model_name
0,0.25838232040405273,0.012030601501464844,0.7872340425531915,0.7861722499781504,0.9263567979675715,0.8248965297675899,LR_w
1,0.31540775299072266,0.009999752044677734,0.779110251450677,0.778089041422874,0.9172808590617204,0.8194751817894403,LR_w
2,0.3104093074798584,0.01099848747253418,0.7829787234042553,0.7822258843868076,0.92020899280231,0.8219612821326564,LR_w
3,0.30040740966796875,0.010002851486206055,0.7713733075435203,0.7731999418119473,0.9159839647615069,0.8123809523809524,LR_w
4,0.27741146087646484,0.009999990463256836,0.7922630560928433,0.793290867361782,0.9244427164333853,0.8269416693522398,LR_w
5,0.18806052207946777,0.01198887825012207,0.8421663442940038,0.8419386188921494,0.9257544384542721,0.8496129745669,LR
6,0.19205474853515625,0.010994434356689453,0.82321083172147,0.822962786592979,0.9168175303472077,0.8327844859129162,LR
7,0.2210545539855957,0.009025335311889648,0.8338491295938104,0.8336902048204887,0.920244759765728,0.8415421508946689,LR
8,0.18806052207946777,0.012988567352294922,0.8230174081237911,0.8234347294075953,0.9151852259815642,0.8305869283466025,LR
9,0.19404983520507812,0.010999917984008789,0.8400386847195358,0.8402262716744666,0.9239624750226577,0.8451600823815766,LR
10,0.08250904083251953,0.008995294570922852,0.8100580270793036,0.809971511762248,0.9051890615702711,0.8140151515151516,LDA
11,0.06302285194396973,0.011490106582641602,0.7978723404255319,0.7977754983814174,0.8962736309242584,0.8027185199169341,LDA
12,0.07950997352600098,0.010995149612426758,0.8058027079303675,0.805769375817103,0.9003667086492,0.8081773022544899,LDA
13,0.07351469993591309,0.013994693756103516,0.8063829787234043,0.8065697723841417,0.8964984501145203,0.8095147478591816,LDA
14,0.08551335334777832,0.00999140739440918,0.8063829787234043,0.8063887821353188,0.9039265758922105,0.8058195926285161,LDA
15,0.00999903678894043,1.2780144214630127,0.748742746615087,0.7486420347270362,0.8306672377483816,0.7545815227659172,KNN
16,0.006999492645263672,1.2790143489837646,0.739651837524178,0.7394917840714592,0.8213892498459687,0.7491613865076406,KNN
17,0.008999824523925781,1.2750134468078613,0.7446808510638298,0.7446306155629092,0.8222662516701227,0.7489539748953975,KNN
18,0.00999903678894043,1.3010129928588867,0.7411992263056093,0.7414304323515994,0.8241839305191547,0.7468785471055619,KNN
19,0.00999903678894043,1.2880117893218994,0.7450676982591876,0.7451312889326279,0.8345495757593171,0.7473159509202455,KNN
20,5.846795082092285,0.01300048828125,0.8292069632495165,0.8290752127788213,0.9195635295483905,0.834240660784682,NN
21,5.367694616317749,0.014993906021118164,0.8177949709864604,0.8176509683136137,0.9095317761038813,0.8239252336448599,NN
22,6.531864881515503,0.013999700546264648,0.8284332688588008,0.828317378374366,0.9150573528496243,0.8344222512600336,NN
23,4.2793684005737305,0.016000986099243164,0.8085106382978723,0.8088217158770772,0.8996176769557351,0.8143982002249719,NN
24,5.48720908164978,0.013998985290527344,0.8309477756286267,0.8309532275694786,0.9190569489390691,0.8304229724485837,NN
25,5.764869213104248,0.022002458572387695,0.8634429400386847,0.8631534964687515,0.9427844513724518,0.8714025500910746,GBM
26,5.7938690185546875,0.023085594177246094,0.853384912959381,0.8530800509601725,0.9375164712909048,0.8629294755877034,GBM
27,5.835954189300537,0.021520137786865234,0.858220502901354,0.8579999173917832,0.9404339385682199,0.8670415381824778,GBM
28,5.8329548835754395,0.022006750106811523,0.8514506769825919,0.8520065898568406,0.9353862680984599,0.8600583090379008,GBM
29,5.782869100570679,0.022086620330810547,0.8678916827852998,0.8681480670021323,0.9437007112780855,0.8737756422103123,GBM
30,3.7082269191741943,0.16552162170410156,0.8576402321083172,0.8574187345930654,0.9366263168102752,0.8642066420664208,RF
31,3.6667182445526123,0.17002511024475098,0.8458413926499033,0.8455731829650075,0.9320229730827867,0.8548005101111315,RF
32,3.6197094917297363,0.17003512382507324,0.8572533849129593,0.8570725204365546,0.9374704436180963,0.8646864686468648,RF
33,3.6187102794647217,0.1640324592590332,0.8456479690522244,0.8460872126366252,0.930079751156278,0.8526043590690802,RF
34,3.6207118034362793,0.16703248023986816,0.8642166344294003,0.8644369337820575,0.9379039924238888,0.8693710457759584,RF
35,4.077253341674805,0.1735241413116455,0.8555125725338492,0.8553814873745447,0.9356228083092988,0.8597709780364182,RF_w
36,4.081744194030762,0.1730365753173828,0.8462282398452611,0.8460659935130987,0.9306852910044042,0.8519828709737478,RF_w
37,4.124264240264893,0.17603278160095215,0.8489361702127659,0.8488326501194826,0.9357254946915242,0.853717924705001,RF_w
38,4.0797438621521,0.17203855514526367,0.8384912959381045,0.8387556377159153,0.9270079667346325,0.8425419573826136,RF_w
39,4.062737941741943,0.17704510688781738,0.8560928433268858,0.8561806426046115,0.9360005363618622,0.8579610538373426,RF_w
