,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_roc_auc,test_f1,model_name
0,0.9593029022216797,0.020999431610107422,0.8051081120301843,0.8319844325134882,0.9233494896337333,0.6301294409253649,LR_w
1,0.9903123378753662,0.024515628814697266,0.7997387897257292,0.8327372594548402,0.9202207276474054,0.618362831858407,LR_w
2,0.8247554302215576,0.02100396156311035,0.8032941517921928,0.8307379384928109,0.9214826664517185,0.6261205350986071,LR_w
3,0.7586309909820557,0.024024486541748047,0.8072848643157742,0.8409828627188407,0.9250539445926816,0.6344618772364438,LR_w
4,1.05782151222229,0.020002126693725586,0.8014657862274146,0.8317741521618269,0.9186735555745628,0.6271463614063777,LR_w
5,1.27659010887146,0.021998167037963867,0.8826730518067044,0.7271841355123284,0.9223266127617874,0.606473594548552,LR
6,1.2835893630981445,0.020001888275146484,0.8833260774923813,0.7220370245682479,0.9193395469313467,0.5949622166246851,LR
7,1.2285895347595215,0.02100205421447754,0.8784646640545639,0.7148517762411056,0.9207975538631837,0.583644046731295,LR
8,1.1220719814300537,0.024997711181640625,0.8818023508924684,0.7189400116175563,0.9239627201709821,0.5920360631104432,LR
9,1.2180774211883545,0.022510766983032227,0.8746825339235179,0.7085272543498071,0.918008076489933,0.5715703299429422,LR
10,0.23338675498962402,0.03856015205383301,0.8784646640545639,0.7197527009073909,0.8756490563266344,0.5915630334064862,LDA
11,0.2999556064605713,0.02198481559753418,0.8771586126832099,0.7127371434267353,0.8728800654398512,0.5749435099171479,LDA
12,0.30794358253479004,0.021997690200805664,0.8725148744739515,0.707043270187165,0.8718298300067189,0.5660656952333909,LDA
13,0.26497721672058105,0.03398537635803223,0.8770134958641707,0.71435087597261,0.8785888812337667,0.5801337626950706,LDA
14,0.30594563484191895,0.025002002716064453,0.8714897322400407,0.7045052180139637,0.8732079696843092,0.5623918952310354,LDA
15,0.017998695373535156,6.773768901824951,0.8619939050936003,0.7179406321044058,0.8208412712680015,0.5718144979738857,KNN
16,0.019998550415039062,6.956445217132568,0.8615585546364823,0.7103974366930443,0.8151406831980932,0.5554520037278657,KNN
17,0.019999265670776367,6.827414274215698,0.8593818023508925,0.7104962355665716,0.8102903297644717,0.5581395348837208,KNN
18,0.0189969539642334,6.828416585922241,0.8599622696270498,0.712086845112922,0.8232028330541646,0.5595618439068918,KNN
19,0.019998550415039062,6.813417911529541,0.8562513605688992,0.7047776463725016,0.8156286083907112,0.5486443381180223,KNN
20,7.179214715957642,0.0405118465423584,0.8814395588448701,0.7167535728927112,0.9058846060884416,0.5908863294942414,NN
21,9.035489559173584,0.03999733924865723,0.8818749093019881,0.7134766116347709,0.9092622950675574,0.5814910025706942,NN
22,10.161166667938232,0.03299856185913086,0.8776665215498476,0.7045932236581375,0.9133313457524415,0.5679138903126603,NN
23,8.544825792312622,0.0359959602355957,0.8812218836163112,0.7109595583222386,0.9132359841056754,0.5801487560913055,NN
24,11.274314641952515,0.03200793266296387,0.8746825339235179,0.7010516659867951,0.9134881302107493,0.5604479511326037,NN
25,18.688643217086792,0.056134939193725586,0.8931214627775359,0.7614674496265426,0.9428438559837594,0.6609896432681244,GBM
26,18.657644987106323,0.05699801445007324,0.8942098389203309,0.758467775039788,0.9398168900705786,0.6535171102661598,GBM
27,18.505533695220947,0.05806374549865723,0.8897837759396314,0.7548244737001195,0.9389103750861385,0.6478089496869929,GBM
28,18.27350687980652,0.06051039695739746,0.8945726309679292,0.7587817584412964,0.9441555682791936,0.6577149587750294,GBM
29,18.669646978378296,0.056005001068115234,0.8857122124664393,0.7467005670347842,0.9351190789495325,0.6343162293940098,GBM
30,9.767790794372559,0.4200706481933594,0.890944710491946,0.747524727716966,0.9354491080647955,0.6423982869379015,RF
31,9.819316387176514,0.4191551208496094,0.8894209838920331,0.7394247150762876,0.9321519152460402,0.625,RF
32,9.867825508117676,0.4216442108154297,0.8863009722826876,0.7331453054252175,0.9318782484417555,0.6175250183060775,RF
33,9.884829044342041,0.425642728805542,0.8891307502539544,0.7397398922826391,0.9369196764599266,0.6282238442822384,RF
34,9.823318004608154,0.4211537837982178,0.8811407009650969,0.7264369687818347,0.9288644493808235,0.6035818005808326,RF
35,11.072558164596558,0.5886836051940918,0.8884777245682774,0.7385306663699761,0.9370594514768396,0.6282950423216445,RF_w
36,11.167085886001587,0.5767619609832764,0.8889856334349151,0.7324068782163738,0.9325218515202407,0.6157709693621296,RF_w
37,11.055560111999512,0.5886831283569336,0.885357712958932,0.7275328351291316,0.9331328701270898,0.6091044037605147,RF_w
38,11.051556587219238,0.6026859283447266,0.8884777245682774,0.7333591047054429,0.9369777711696152,0.6194602624411983,RF_w
39,11.08555555343628,0.5786838531494141,0.8820840287352152,0.7246737062154514,0.9304799152792353,0.6023978468314167,RF_w
